"Species","spawningMode","FemaleMass_g","FemaleSize_mm","sizeType","eggSize_mm","typeOfWork_eggSize","timeToEggMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnFemaleSize","lnEggSize","absLatitude"
"Melanogrammus aeglefinus","pelagic",NA,368.206,"TL",1.3899,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.90864256415779,0.329231802108575,57.909452
"Melanogrammus aeglefinus","pelagic",NA,367.601,"TL",1.3845,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.90699811082604,0.32533906362888,57.909452
"Melanogrammus aeglefinus","pelagic",NA,368.175,"TL",1.3796,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.90855836861223,0.321793602080549,57.909452
"Melanogrammus aeglefinus","pelagic",NA,356.469,"TL",1.3993,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.87624727955167,0.335972111579531,57.909452
"Melanogrammus aeglefinus","pelagic",NA,357.703,"TL",1.4191,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.87970303314621,0.350022867858355,57.909452
"Melanogrammus aeglefinus","pelagic",NA,347.703,"TL",1.4191,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.85134866710429,0.350022867858355,57.909452
"Melanogrammus aeglefinus","pelagic",NA,348.233,"TL",1.3993,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.8528717959623,0.335972111579531,57.909452
"Melanogrammus aeglefinus","pelagic",NA,357.591,"TL",1.3811,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.87938987519741,0.322880283101746,57.909452
"Melanogrammus aeglefinus","pelagic",NA,359.294,"TL",1.3598,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.88414099484283,0.307337630110222,57.909452
"Melanogrammus aeglefinus","pelagic",NA,359.294,"TL",1.3598,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.88414099484283,0.307337630110222,57.909452
"Melanogrammus aeglefinus","pelagic",NA,358.081,"TL",1.3475,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.88075921779169,0.298251023801015,57.909452
"Melanogrammus aeglefinus","pelagic",NA,348.049,"TL",1.3366,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.85234327446014,0.290129076094833,57.909452
"Melanogrammus aeglefinus","pelagic",NA,348.043,"TL",1.3346,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.85232603535956,0.288631621487369,57.909452
"Melanogrammus aeglefinus","pelagic",NA,358.556,"TL",1.309,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.88208485425634,0.269263486927763,57.909452
"Melanogrammus aeglefinus","pelagic",NA,328,"TL",1.3197,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.79301360838414,0.277404438040647,57.909452
"Melanogrammus aeglefinus","pelagic",NA,328.549,"TL",1.3065,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.79468598966248,0.26735180597853,57.909452
"Melanogrammus aeglefinus","pelagic",NA,347.538,"TL",1.3628,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.85087401154428,0.309541406804674,57.909452
"Melanogrammus aeglefinus","pelagic",NA,347.584,"TL",1.3786,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.85100636241238,0.321068491469414,57.909452
"Melanogrammus aeglefinus","pelagic",NA,338.167,"TL",1.3766,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.82353985630452,0.319616690982127,57.909452
"Melanogrammus aeglefinus","pelagic",NA,328.209,"TL",1.391,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.79365060058348,0.330022912941306,57.909452
"Melanogrammus aeglefinus","pelagic",NA,330.556,"TL",1.389,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.80077608518042,0.328584063772207,57.909452
"Melanogrammus aeglefinus","pelagic",NA,327.559,"TL",1.3702,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.79166819152152,0.314956714586662,57.909452
"Melanogrammus aeglefinus","pelagic",NA,317.586,"TL",1.3791,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.76074864779687,0.321431112498155,57.909452
"Melanogrammus aeglefinus","pelagic",NA,317.559,"TL",1.3702,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.76066362784074,0.314956714586662,57.909452
"Melanogrammus aeglefinus","pelagic",NA,318.117,"TL",1.3599,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.76241923964085,0.307411167632776,57.909452
"Melanogrammus aeglefinus","pelagic",NA,328.678,"TL",1.3505,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.79507854809863,0.300474894250533,57.909452
"Melanogrammus aeglefinus","pelagic",NA,318.088,"TL",1.35,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.76232807405736,0.300104592450338,57.909452
"Melanogrammus aeglefinus","pelagic",NA,338.031,"TL",1.3307,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.8231376072537,0.28570511956756,57.909452
"Melanogrammus aeglefinus","pelagic",NA,307.997,"TL",1.3194,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.7300900426664,0.277177087806633,57.909452
"Melanogrammus aeglefinus","pelagic",NA,308.029,"TL",1.3296,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.73019393438535,0.284878145119047,57.909452
"Melanogrammus aeglefinus","pelagic",NA,308.652,"TL",1.3416,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.73221442865044,0.293862931526862,57.909452
"Melanogrammus aeglefinus","pelagic",NA,308.662,"TL",1.3455,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.73224682707328,0.296765691184823,57.909452
"Melanogrammus aeglefinus","pelagic",NA,308.087,"TL",1.3495,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.7303822106196,0.299734153475922,57.909452
"Melanogrammus aeglefinus","pelagic",NA,318.527,"TL",1.2991,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.76370724378973,0.26167171701955,57.909452
"Melanogrammus aeglefinus","pelagic",NA,328.996,"TL",1.2586,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.79604559263675,0.229999992110696,57.909452
"Melanogrammus aeglefinus","pelagic",NA,297.936,"TL",1.2982,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.69687869833941,0.260978689617231,57.909452
"Melanogrammus aeglefinus","pelagic",NA,288.496,"TL",1.2888,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.66468122103401,0.253711552880628,57.909452
"Melanogrammus aeglefinus","pelagic",NA,288.437,"TL",1.2685,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.66447669121788,0.237835100057199,57.909452
"Melanogrammus aeglefinus","pelagic",NA,298.408,"TL",1.2586,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.69846167762171,0.229999992110696,57.909452
"Melanogrammus aeglefinus","pelagic",NA,298.377,"TL",1.2483,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.69835778761097,0.221782625674868,57.909452
"Melanogrammus aeglefinus","pelagic",NA,297.529,"TL",1.3599,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.69551169922651,0.307411167632776,57.909452
"Melanogrammus aeglefinus","pelagic",NA,307.562,"TL",1.3712,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.72867669293904,0.315686268861378,57.909452
"Melanogrammus aeglefinus","pelagic",NA,308.204,"TL",1.3895,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.73076190138713,0.328943970200421,57.909452
"Melanogrammus aeglefinus","pelagic",NA,337.793,"TL",1.4497,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.82243328183809,0.371356638474715,57.909452
"Melanogrammus aeglefinus","pelagic",NA,337.17,"TL",1.4379,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.82058725419829,0.363183715851558,57.909452
"Melanogrammus aeglefinus","pelagic",NA,327.157,"TL",1.4334,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.79044017799957,0.360049244577682,57.909452
"Melanogrammus aeglefinus","pelagic",NA,317.732,"TL",1.429,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.76120826015657,0.35697489894773,57.909452
"Melanogrammus aeglefinus","pelagic",NA,317.114,"TL",1.4186,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.75926133068009,0.349670469785849,57.909452
"Melanogrammus aeglefinus","pelagic",NA,307.737,"TL",1.4304,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.72924552209273,0.357954125437113,57.909452
"Melanogrammus aeglefinus","pelagic",NA,268.437,"TL",1.2686,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.59261624954587,0.23791393021766,57.909452
"Melanogrammus aeglefinus","pelagic",NA,268.496,"TL",1.2888,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.59283601625881,0.253711552880628,57.909452
"Melanogrammus aeglefinus","pelagic",NA,258.498,"TL",1.2893,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.55488795697465,0.254099435434655,57.909452
"Melanogrammus aeglefinus","pelagic",NA,227.966,"TL",1.3086,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.42919649502751,0.268957863453501,57.909452
"Melanogrammus aeglefinus","pelagic",NA,268.556,"TL",1.309,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.59305945831004,0.269263486927763,57.909452
"Melanogrammus aeglefinus","pelagic",NA,278,"TL",1.3199,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.62762111369064,0.277555976152772,57.909452
"Melanogrammus aeglefinus","pelagic",NA,268.617,"TL",1.3298,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.59328657322558,0.285028554986218,57.909452
"Melanogrammus aeglefinus","pelagic",NA,298.226,"TL",1.3969,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.69785158833533,0.334255495751368,57.909452
"Melanogrammus aeglefinus","pelagic",NA,288.188,"TL",1.3841,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.66361304494698,0.325050108920519,57.909452
"Melanogrammus aeglefinus","pelagic",NA,268.176,"TL",1.3801,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.5916434813849,0.322155960311857,57.909452
"Melanogrammus aeglefinus","pelagic",NA,268.793,"TL",1.3895,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.59394156664324,0.328943970200421,57.909452
"Melanogrammus aeglefinus","pelagic",NA,277.675,"TL",1.4098,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.62645136505318,0.343447850357638,57.909452
"Melanogrammus aeglefinus","pelagic",NA,258.26,"TL",1.4088,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.55396682941851,0.342738278199859,57.909452
"Melanogrammus aeglefinus","pelagic",NA,277.798,"TL",1.4513,"",NA,"West and north of Scotland","1986 - 1987 March","50 eggs per female",FALSE,FALSE,57.909452,-3.354753,"hislop_jrg_1988_j32_923.pdf",5.62689423087028,0.37245970649418,57.909452
"Micromesistius australis","pelagic",840,510,"TL",0.7383962,"",NA,"Mar Argentino","1978 august","",FALSE,FALSE,-46.725365,-64.89617,"sanchez_rp_1986_r6_21.pdf",6.23441072571837,-0.303274742068925,46.725365
"Merluccius merluccius","pelagic",NA,765.192,"TL",1.1711394,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.64012678272838,0.157977121082978,43.448055
"Merluccius merluccius","pelagic",NA,710.594,"TL",1.2252891,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.56610123998246,0.203176816153071,43.448055
"Merluccius merluccius","pelagic",NA,715.817,"TL",1.1152505,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.57342454770065,0.109079043356107,43.448055
"Merluccius merluccius","pelagic",NA,720.565,"TL",0.9999344,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.58003562649882,-6.56021517741038e-05,43.448055
"Merluccius merluccius","pelagic",NA,675.937,"TL",1.0646592,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.51609987643374,0.0626547479504631,43.448055
"Merluccius merluccius","pelagic",NA,660.271,"TL",1.1241721,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.49265035680548,0.117046853629769,43.448055
"Merluccius merluccius","pelagic",NA,655.524,"TL",1.135468,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.48543491580582,0.127044900748495,43.448055
"Merluccius merluccius","pelagic",NA,640.332,"TL",1.1565396,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.46198679184945,0.145432443348275,43.448055
"Merluccius merluccius","pelagic",NA,640.806,"TL",1.12639,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.46272675900619,0.119017828541324,43.448055
"Merluccius merluccius","pelagic",NA,675.937,"TL",1.0639054,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.51609987643374,0.0619464771923082,43.448055
"Merluccius merluccius","pelagic",NA,660.746,"TL",1.0608565,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.49336949973925,0.0590766007203988,43.448055
"Merluccius merluccius","pelagic",NA,650.302,"TL",1.081185,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.47743687037399,0.0780576618500001,43.448055
"Merluccius merluccius","pelagic",NA,646.029,"TL",1.069869,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.47084439441587,0.0675362110721199,43.448055
"Merluccius merluccius","pelagic",NA,635.584,"TL",0.9371824,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.45454426128089,-0.0648773518675536,43.448055
"Merluccius merluccius","pelagic",NA,646.029,"TL",0.9741403,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.47084439441587,-0.026199940538574,43.448055
"Merluccius merluccius","pelagic",NA,640.332,"TL",0.986188,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.46198679184945,-0.0139082731833992,43.448055
"Merluccius merluccius","pelagic",NA,675.464,"TL",1.1732009,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.51539986212368,0.159735825253493,43.448055
"Merluccius merluccius","pelagic",NA,620.867,"TL",1.0132803,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.43111688830323,0.0131928898541533,43.448055
"Merluccius merluccius","pelagic",NA,636.059,"TL",1.0796458,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.4552913263331,0.0766330243815514,43.448055
"Merluccius merluccius","pelagic",NA,625.614,"TL",1.0766074,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.43873356749733,0.0738148006117162,43.448055
"Merluccius merluccius","pelagic",NA,626.564,"TL",1.0668106,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.44025092394709,0.0646734495343256,43.448055
"Merluccius merluccius","pelagic",NA,621.342,"TL",1.0667989,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.431881654978,0.0646624822040807,43.448055
"Merluccius merluccius","pelagic",NA,615.644,"TL",1.0660325,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.42266887439427,0.0639438130837871,43.448055
"Merluccius merluccius","pelagic",NA,610.897,"TL",1.0328561,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.4149283688563,0.0323278774329693,43.448055
"Merluccius merluccius","pelagic",NA,610.897,"TL",1.0388862,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.4149283688563,0.0381491777257327,43.448055
"Merluccius merluccius","pelagic",NA,626.089,"TL",1.1218346,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.4394925335185,0.114965380904029,43.448055
"Merluccius merluccius","pelagic",NA,620.867,"TL",1.1255918,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.43111688830323,0.118308941787953,43.448055
"Merluccius merluccius","pelagic",NA,615.17,"TL",1.1248254,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.42189865237301,0.117627823611617,43.448055
"Merluccius merluccius","pelagic",NA,616.118,"TL",1.1180436,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.4234385036301,0.111580372183588,43.448055
"Merluccius merluccius","pelagic",NA,605.675,"TL",1.1119902,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.40634353857672,0.106151382839916,43.448055
"Merluccius merluccius","pelagic",NA,610.897,"TL",1.1775796,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.4149283688563,0.163461145472858,43.448055
"Merluccius merluccius","pelagic",NA,596.654,"TL",1.1926234,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.39133738089107,0.176155418510522,43.448055
"Merluccius merluccius","pelagic",NA,596.179,"TL",1.1722705,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.39054095754412,0.158942466571907,43.448055
"Merluccius merluccius","pelagic",NA,595.705,"TL",1.1089529,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.38974557808607,0.103416236772005,43.448055
"Merluccius merluccius","pelagic",NA,590.957,"TL",1.11648,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.38174325672188,0.110180879016272,43.448055
"Merluccius merluccius","pelagic",NA,590.482,"TL",1.1255242,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.38093915253098,0.118248882688359,43.448055
"Merluccius merluccius","pelagic",NA,591.907,"TL",1.1338188,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.38334952794876,0.125591404178252,43.448055
"Merluccius merluccius","pelagic",NA,591.907,"TL",1.1421103,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.38334952794876,0.132877691508498,43.448055
"Merluccius merluccius","pelagic",NA,611.372,"TL",1.137631,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.41570561187549,0.128948030047173,43.448055
"Merluccius merluccius","pelagic",NA,611.372,"TL",1.1413998,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.41570561187549,0.132255403897046,43.448055
"Merluccius merluccius","pelagic",NA,605.675,"TL",1.1421409,"",NA,"Off the coast of Galicia, Spain","1999 - 2004","35 eggs per female",FALSE,FALSE,43.448055,-9.098964,"mehault_s_2010_f104_111.pdf",6.40634353857672,0.132904483658154,43.448055
