"Species","spawningMode","FemaleMass_g","FemaleSize_mm","sizeType","eggSize_mm","typeOfWork_eggSize","timeToEggMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnFemaleSize","lnEggSize","absLatitude"
"Engraulis anchoita","pelagic",NA,147,"TL",1.24,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",4.99043258677874,0.215111379616945,38.040061
"Engraulis anchoita","pelagic",NA,150,"TL",1.26,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",5.01063529409626,0.231111720963387,38.040061
"Engraulis anchoita","pelagic",NA,155,"TL",1.33,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",5.04342511691925,0.285178942233662,38.040061
"Engraulis anchoita","pelagic",NA,160,"TL",1.28,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",5.07517381523383,0.246860077931526,38.040061
"Engraulis anchoita","pelagic",NA,161,"TL",1.31,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",5.08140436498446,0.27002713721306,38.040061
"Engraulis anchoita","pelagic",NA,163,"TL",1.3,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",5.09375020080676,0.262364264467491,38.040061
"Engraulis anchoita","pelagic",NA,168,"TL",1.29,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",5.12396397940326,0.254642218373581,38.040061
"Engraulis anchoita","pelagic",NA,168,"TL",1.26,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",5.12396397940326,0.231111720963387,38.040061
"Engraulis anchoita","pelagic",NA,175,"TL",1.32,"Field",NA,"3 - 12 miles off Mar del Plata, Argentina"," 1964-1965","100",FALSE,TRUE,-38.040061,-57.43905,"deciechomski_jdz_1966_j30_281.pdf",5.16478597392351,0.27763173659828,38.040061
"Ilisha africana","pelagic",NA,180,"TL",0.85,"",NA,"off Lagos Coast, Nigeria","1978 November - 1980 February","",FALSE,FALSE,6.362878,3.398655,"marcus_o_1984_j25_679.pdf",5.19295685089021,-0.162518929497775,6.362878
