"Species","spawningMode","FemaleMass_g","FemaleSize_mm","sizeType","Fecundity_nOfEggs_per_female","typeOfWork_Fecundity","timeToFecundityMeasurement_months","Location","Date","sampleSize","Fertilized","Live","Latitude","Longitude","ReferencePdf","lnFemaleSize","lnFecundity","absLatitude"
"Atherina presbyter","demersal",NA,112.0253,"SL",9167,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.71872473864229,9.12336535796178,50.784368
"Atherina presbyter","demersal",NA,114.5897,"SL",7766,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.74135792240543,8.95751051029161,50.784368
"Atherina presbyter","demersal",NA,113.2472,"SL",5634,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.72957303999569,8.63657494843632,50.784368
"Atherina presbyter","demersal",NA,113.3083,"SL",5111,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.73011242219106,8.53915035876828,50.784368
"Atherina presbyter","demersal",NA,114.3705,"SL",5290,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.73944317855938,8.57357352485234,50.784368
"Atherina presbyter","demersal",NA,115.5255,"SL",7461,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.74949128481448,8.91744473247151,50.784368
"Atherina presbyter","demersal",NA,115.6566,"SL",6965,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.75062545579098,8.84865288621391,50.784368
"Atherina presbyter","demersal",NA,116.8245,"SL",9766,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.76067280867149,9.1866622446216,50.784368
"Atherina presbyter","demersal",NA,118.1863,"SL",8611,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.77226219300912,9.06079573469617,50.784368
"Atherina presbyter","demersal",NA,121.545,"SL",10227,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.8002845645808,9.23278656080601,50.784368
"Atherina presbyter","demersal",NA,122.8967,"SL",10170,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.81134416511304,9.22719748904261,50.784368
"Atherina presbyter","demersal",NA,126.7545,"SL",11407,"",NA,"Fowley power station Southamption, UK","1978 March - 1979 November","",FALSE,FALSE,50.784368,-1.271072,"turnpenny_awh_1981_j18_417.pdf",4.84225214479966,9.3419824810279,50.784368
"Leuresthes tenuis","demersal",NA,171,"TL",2528,"",NA,"California, United States","1919 April","",NA,NA,36.580109,-122.035419,"thompson_wf_1919_c3_1.pdf",5.14166355650266,7.83518375526675,36.580109
"Leuresthes tenuis","demersal",NA,171,"TL",1911,"",NA,"California, United States","1919 April","",NA,NA,36.580109,-122.035419,"thompson_wf_1919_c3_1.pdf",5.14166355650266,7.55538194424027,36.580109
"Leuresthes tenuis","demersal",NA,171,"TL",1514,"",NA,"California, United States","1919 April","",NA,NA,36.580109,-122.035419,"thompson_wf_1919_c3_1.pdf",5.14166355650266,7.32251043399739,36.580109
"Leuresthes tenuis","demersal",NA,171,"TL",1479,"",NA,"California, United States","1919 April","",NA,NA,36.580109,-122.035419,"thompson_wf_1919_c3_1.pdf",5.14166355650266,7.2991214627108,36.580109
"Leuresthes tenuis","demersal",NA,171,"TL",2540,"",NA,"California, United States","1919 April","",NA,NA,36.580109,-122.035419,"thompson_wf_1919_c3_1.pdf",5.14166355650266,7.83991936001258,36.580109
"Leuresthes tenuis","demersal",NA,171,"TL",2705,"",NA,"California, United States","1919 April","",NA,NA,36.580109,-122.035419,"thompson_wf_1919_c3_1.pdf",5.14166355650266,7.90285719128058,36.580109
"Leuresthes tenuis","demersal",NA,137,"TL",475,"",NA,"California, United States","1919 April","",NA,NA,36.580109,-122.035419,"thompson_wf_1919_c3_1.pdf",4.91998092582813,6.16331480403464,36.580109
