order,family,genus,species,spawningModeDetailed,spawningModeCode,source
Scorpaeniformes,Sebastidae,Sebastes,Sebastes alutus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes atrovirens,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes auriculatus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes brevispinis,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes carnatus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes caurinus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes chlorostictus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes constellatus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes crameri,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes dallii,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes diploproa,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes elongatus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes entomelas,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes flavidus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes goodei,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes helvomaculatus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes hopkinsi,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes jordani,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes levis,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanops,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanostomus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes mentella,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes miniatus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes norvegicus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes ovalis,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes paucispinis,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes pinniger,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes rastrelliger,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes rosaceus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes rosenblatti,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes rufus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes saxicola,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes semicinctus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes serranoides,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastes,Sebastes viviparus,internal brooding,BI,Wourms J. P. 1991 Environ Biol Fish 30 111–126
Scorpaeniformes,Sebastidae,Sebastolobus,Sebastolobus altivelis,pelagic,P,http://www.fishbase.org/summary/Sebastolobus-altivelis
Scorpaeniformes,Triglidae,Eutrigla,Eutrigla gurnardus,pelagic,P,http://www.fishbase.org/summary/Eutrigla-gurnardus
Scorpaeniformes,Triglidae,Prionotus,Prionotus carolinus,pelagic,P,http://www.fishbase.org/summary/Prionotus-carolinus
Scorpaeniformes,Triglidae,Prionotus,Prionotus evolans,pelagic,P,http://www.fishbase.org/summary/Prionotus-evolans
Syngnathiformes,Syngnathidae,Entelurus,Entelurus aequoreus,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Hippocampus,Hippocampus fuscus,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Hippocampus,Hippocampus guttulatus,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Hippocampus,Hippocampus hippocampus,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Hippocampus,Hippocampus kuda,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Hippocampus,Hippocampus reidi,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Hippocampus,Hippocampus trimaculatus,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Micrognathus,Micrognathus crinitus,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Nerophis,Nerophis exilis,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Nerophis,Nerophis lumbriciformis,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Nerophis,Nerophis maculatus,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Nerophis,Nerophis ophidion,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus abaster,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus acus,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus floridae,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus louisianae,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus phlegon,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus rostellatus,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus scovelli,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus typhle,pouch brooder,BP,http://www.fishbase.org/summary/FamilySummary.php?ID=258
Tetraodontiformes,Balistidae,Balistapus,Balistapus undulatus,scatterer,S,assumed to be the same as all Balistidae
Tetraodontiformes,Balistidae,Balistes,Balistes capriscus,scatterer,S,assumed to be the same for all Balistidae
Tetraodontiformes,Balistidae,Pseudobalistes,Pseudobalistes flavimarginatus,scatterer,S,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Tetraodontiformes,Balistidae,Rhinecanthus,Rhinecanthus aculeatus,scatterer,S,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Tetraodontiformes,Balistidae,Xanthichthys,Xanthichthys mento,scatterer,S,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Tetraodontiformes,Diodontidae,Diodon,Diodon holocanthus,pelagic,P,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Tetraodontiformes,Diodontidae,Diodon,Diodon hystrix,pelagic,P,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Tetraodontiformes,Molidae,Ranzania,Ranzania laevis,pelagic,P,NA
Tetraodontiformes,Monacanthidae,Brachaluteres,Brachaluteres jacksonianus,scatterer,S,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Tetraodontiformes,Monacanthidae,Brachaluteres,Brachaluteres ulvarum,scatterer,S,assumed to be the same across Brachaluteres spp.
Tetraodontiformes,Monacanthidae,Eubalichthys,Eubalichthys bucephalus,scatterer,S,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Tetraodontiformes,Monacanthidae,Meuschenia,Meuschenia scaber,scatterer,S,assumed to be the same for all Monacanthidae
Tetraodontiformes,Monacanthidae,Oxymonacanthus,Oxymonacanthus longirostris,scatterer,S,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Tetraodontiformes,Monacanthidae,Paramonacanthus,Paramonacanthus japonicus,scatterer,S,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Tetraodontiformes,Monacanthidae,Rudarius,Rudarius ercodes,scatterer,S,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Tetraodontiformes,Ostraciidae,Acanthostracion,Acanthostracion polygonius,pelagic,P,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Tetraodontiformes,Ostraciidae,Lactoria,Lactoria diaphana,pelagic,P,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Tetraodontiformes,Ostraciidae,Lactoria,Lactoria fornasini,pelagic,P,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Tetraodontiformes,Ostraciidae,Ostracion,Ostracion meleagris,pelagic,P,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Tetraodontiformes,Tetraodontidae,Canthigaster,Canthigaster rostrata,demersal,D,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
Tetraodontiformes,Tetraodontidae,Canthigaster,Canthigaster valentini,scatterer,S,Kasimatis & Riginos 2016 doi 10.1007/s00338-015-1380-1
